) LJ_Voltage	V_Bias
-0.12996	0.0071
-0.14599	0.008
-0.16364	0.009
-0.1814	0.01
-0.19931	0.011
-0.21712	0.012
-0.23499756	0.013
-0.25286	0.014
-0.27081	0.015
-0.2887207	0.016
-0.30661	0.017
-0.3246	0.018
-0.34244	0.019
-0.36047	0.02
-0.378372	0.021
-0.39637	0.022
-0.41462402	0.023
-0.43258	0.024
-0.45054932	0.025
-0.54022	0.03
-0.63016	0.035
-0.71983246	0.04
-0.89965	0.05
-1.05864	0.06
